date,hour,day,sales,week
2020-02-01,18,Saturday,0,5
2020-02-01,19,Saturday,0,5
2020-02-01,20,Saturday,0,5
2020-02-02,9,Sunday,0,5
2020-02-02,10,Sunday,0,5
2020-02-02,11,Sunday,1,5
2020-02-02,12,Sunday,1,5
2020-02-02,13,Sunday,1,5
2020-02-02,14,Sunday,0,5
2020-02-02,15,Sunday,0,5
2020-02-02,16,Sunday,1,5
2020-02-02,17,Sunday,0,5
2020-02-02,18,Sunday,0,5
2020-02-02,19,Sunday,0,5
2020-02-02,20,Sunday,0,5
2020-02-03,9,Monday,1,5
2020-02-03,10,Monday,1,5
2020-02-03,11,Monday,3,5
2020-02-03,12,Monday,3,5
2020-02-03,13,Monday,1,5
2020-02-03,14,Monday,1,5
2020-02-03,15,Monday,3,5
2020-02-03,16,Monday,1,5
2020-02-03,17,Monday,1,5
2020-02-03,18,Monday,0,5
2020-02-03,19,Monday,0,5
2020-02-03,20,Monday,0,5
2020-02-04,9,Tuesday,1,5
2020-02-04,10,Tuesday,0,5
2020-02-04,11,Tuesday,6,5
2020-02-04,12,Tuesday,3,5
2020-02-04,13,Tuesday,2,5
2020-02-04,14,Tuesday,1,5
2020-02-04,15,Tuesday,1,5
2020-02-04,16,Tuesday,1,5
2020-02-04,17,Tuesday,1,5
2020-02-04,18,Tuesday,1,5
2020-02-04,19,Tuesday,1,5
2020-02-04,20,Tuesday,0,5
2020-02-05,9,Wednesday,0,6
2020-02-05,10,Wednesday,1,6
2020-02-05,11,Wednesday,1,6
2020-02-05,12,Wednesday,1,6
2020-02-05,13,Wednesday,0,6
2020-02-05,14,Wednesday,1,6
2020-02-05,15,Wednesday,1,6
2020-02-05,16,Wednesday,1,6
2020-02-05,17,Wednesday,1,6
2020-02-05,18,Wednesday,0,6
2020-02-05,19,Wednesday,0,6
2020-02-05,20,Wednesday,0,6
2020-02-06,9,Thursday,2,6
2020-02-06,10,Thursday,3,6
2020-02-06,11,Thursday,1,6
2020-02-06,12,Thursday,3,6
2020-02-06,13,Thursday,1,6
2020-02-06,14,Thursday,3,6
2020-02-06,15,Thursday,1,6
2020-02-06,16,Thursday,0,6
2020-02-06,17,Thursday,0,6
2020-02-06,18,Thursday,2,6
2020-02-06,19,Thursday,1,6
2020-02-06,20,Thursday,0,6
2020-02-07,9,Friday,0,6
2020-02-07,10,Friday,3,6
2020-02-07,11,Friday,1,6
2020-02-07,12,Friday,4,6
2020-02-07,13,Friday,2,6
2020-02-07,14,Friday,1,6
2020-02-07,15,Friday,3,6
2020-02-07,16,Friday,0,6
2020-02-07,17,Friday,3,6
2020-02-07,18,Friday,0,6
2020-02-07,19,Friday,1,6
2020-02-07,20,Friday,0,6
2020-02-08,9,Saturday,0,6
2020-02-08,10,Saturday,1,6
2020-02-08,11,Saturday,0,6
2020-02-08,12,Saturday,1,6
2020-02-08,13,Saturday,1,6
2020-02-08,14,Saturday,0,6
2020-02-08,15,Saturday,0,6
2020-02-08,16,Saturday,0,6
2020-02-08,17,Saturday,1,6
2020-02-08,18,Saturday,0,6
2020-02-08,19,Saturday,0,6
2020-02-08,20,Saturday,0,6
2020-02-09,9,Sunday,0,6
2020-02-09,10,Sunday,1,6
2020-02-09,11,Sunday,3,6
2020-02-09,12,Sunday,3,6
2020-02-09,13,Sunday,0,6
2020-02-09,14,Sunday,0,6
2020-02-09,15,Sunday,0,6
2020-02-09,16,Sunday,0,6
2020-02-09,17,Sunday,0,6
2020-02-09,18,Sunday,0,6
2020-02-09,19,Sunday,0,6
2020-02-09,20,Sunday,1,6
2020-02-10,9,Monday,0,6
2020-02-10,10,Monday,1,6
2020-02-10,11,Monday,1,6
2020-02-10,12,Monday,0,6
2020-02-10,13,Monday,2,6
2020-02-10,14,Monday,0,6
2020-02-10,15,Monday,0,6
2020-02-10,16,Monday,0,6
2020-02-10,17,Monday,0,6
2020-02-10,18,Monday,0,6
2020-02-10,19,Monday,0,6
2020-02-10,20,Monday,0,6
2020-02-11,9,Tuesday,0,6
2020-02-11,10,Tuesday,1,6
2020-02-11,11,Tuesday,3,6
2020-02-11,12,Tuesday,1,6
2020-02-11,13,Tuesday,0,6
2020-02-11,14,Tuesday,1,6
2020-02-11,15,Tuesday,1,6
2020-02-11,16,Tuesday,3,6
2020-02-11,17,Tuesday,1,6
2020-02-11,18,Tuesday,0,6
2020-02-11,19,Tuesday,0,6
2020-02-11,20,Tuesday,1,6
2020-02-12,9,Wednesday,0,7
2020-02-12,10,Wednesday,0,7
2020-02-12,11,Wednesday,0,7
2020-02-12,12,Wednesday,3,7
2020-02-12,13,Wednesday,1,7
2020-02-12,14,Wednesday,1,7
2020-02-12,15,Wednesday,1,7
2020-02-12,16,Wednesday,3,7
2020-02-12,17,Wednesday,0,7
2020-02-12,18,Wednesday,0,7
2020-02-12,19,Wednesday,0,7
2020-02-12,20,Wednesday,0,7
2020-02-13,9,Thursday,0,7
2020-02-13,10,Thursday,1,7
2020-02-13,11,Thursday,1,7
2020-02-13,12,Thursday,1,7
2020-02-13,13,Thursday,1,7
2020-02-13,14,Thursday,1,7
2020-02-13,15,Thursday,1,7
2020-02-13,16,Thursday,1,7
2020-02-13,17,Thursday,1,7
2020-02-13,18,Thursday,0,7
2020-02-13,19,Thursday,0,7
2020-02-13,20,Thursday,0,7
2020-02-14,9,Friday,0,7
2020-02-14,10,Friday,0,7
2020-02-14,11,Friday,1,7
2020-02-14,12,Friday,1,7
2020-02-14,13,Friday,1,7
2020-02-14,14,Friday,1,7
2020-02-14,15,Friday,3,7
2020-02-14,16,Friday,0,7
2020-02-14,17,Friday,1,7
2020-02-14,18,Friday,1,7
